Монета,место где купить,место куда продать,прибыль,время
BTC,Binance,Kraken,-0.18,10:00:22.000
ETH,Coinbase,Binance,-0.12,10:00:22.000
SOL,Kraken,Coinbase,1.14,10:00:22.000
XRP,Bybit,Binance,-0.01,10:00:22.000
BTC,Binance,Kraken,0.28,10:00:22.500
ETH,Coinbase,Binance,0.32,10:00:22.500
SOL,Kraken,Coinbase,0.82,10:00:22.500
XRP,Bybit,Binance,0.03,10:00:22.500
BTC,Binance,Kraken,0.11,10:00:23.000
ETH,Coinbase,Binance,0.29,10:00:23.000
SOL,Kraken,Coinbase,0.83,10:00:23.000
XRP,Bybit,Binance,0.04,10:00:23.000
BTC,Binance,Kraken,-0.11,10:00:23.500
ETH,Coinbase,Binance,0.28,10:00:23.500
SOL,Kraken,Coinbase,0.88,10:00:23.500
XRP,Bybit,Binance,0.06,10:00:23.500
BTC,Binance,Kraken,0.08,10:00:24.000
ETH,Coinbase,Binance,-0.11,10:00:24.000
SOL,Kraken,Coinbase,1.18,10:00:24.000
XRP,Bybit,Binance,0.05,10:00:24.000
BTC,Binance,Kraken,0.14,10:00:24.500
ETH,Coinbase,Binance,0.04,10:00:24.500
SOL,Kraken,Coinbase,0.91,10:00:24.500
XRP,Bybit,Binance,-0.01,10:00:24.500
BTC,Binance,Kraken,0.56,10:00:25.000
ETH,Coinbase,Binance,-0.13,10:00:25.000
SOL,Kraken,Coinbase,1.03,10:00:25.000
XRP,Bybit,Binance,0.03,10:00:25.000
BTC,Binance,Kraken,0.19,10:00:25.500
ETH,Coinbase,Binance,-0.0,10:00:25.500
SOL,Kraken,Coinbase,1.29,10:00:25.500
XRP,Bybit,Binance,0.02,10:00:25.500
BTC,Binance,Kraken,0.09,10:00:26.000
ETH,Coinbase,Binance,0.26,10:00:26.000
SOL,Kraken,Coinbase,0.82,10:00:26.000
XRP,Bybit,Binance,-0.0,10:00:26.000
BTC,Binance,Kraken,-0.01,10:00:26.500
ETH,Coinbase,Binance,0.18,10:00:26.500
SOL,Kraken,Coinbase,0.92,10:00:26.500
XRP,Bybit,Binance,0.03,10:00:26.500
BTC,Binance,Kraken,0.13,10:00:27.000
ETH,Coinbase,Binance,0.02,10:00:27.000
SOL,Kraken,Coinbase,1.24,10:00:27.000
XRP,Bybit,Binance,0.05,10:00:27.000
BTC,Binance,Kraken,-0.13,10:00:27.500
ETH,Coinbase,Binance,-0.11,10:00:27.500
SOL,Kraken,Coinbase,0.85,10:00:27.500
XRP,Bybit,Binance,-0.01,10:00:27.500
BTC,Binance,Kraken,0.27,10:00:28.000
ETH,Coinbase,Binance,-0.24,10:00:28.000
SOL,Kraken,Coinbase,1.17,10:00:28.000
XRP,Bybit,Binance,-0.01,10:00:28.000
BTC,Binance,Kraken,0.38,10:00:28.500
ETH,Coinbase,Binance,0.13,10:00:28.500
SOL,Kraken,Coinbase,1.06,10:00:28.500
XRP,Bybit,Binance,-0.02,10:00:28.500
BTC,Binance,Kraken,0.56,10:00:29.000
ETH,Coinbase,Binance,0.36,10:00:29.000
SOL,Kraken,Coinbase,1.11,10:00:29.000
XRP,Bybit,Binance,0.05,10:00:29.000
BTC,Binance,Kraken,-0.19,10:00:29.500
ETH,Coinbase,Binance,-0.23,10:00:29.500
SOL,Kraken,Coinbase,1.09,10:00:29.500
XRP,Bybit,Binance,-0.02,10:00:29.500
BTC,Binance,Kraken,0.09,10:00:30.000
ETH,Coinbase,Binance,-0.04,10:00:30.000
SOL,Kraken,Coinbase,1.04,10:00:30.000
XRP,Bybit,Binance,0.01,10:00:30.000
BTC,Binance,Kraken,-0.18,10:00:30.500
ETH,Coinbase,Binance,0.31,10:00:30.500
SOL,Kraken,Coinbase,0.83,10:00:30.500
XRP,Bybit,Binance,0.01,10:00:30.500
BTC,Binance,Kraken,-0.19,10:00:31.000
ETH,Coinbase,Binance,-0.08,10:00:31.000
SOL,Kraken,Coinbase,1.26,10:00:31.000
XRP,Bybit,Binance,0.06,10:00:31.000
BTC,Binance,Kraken,-0.02,10:00:31.500
ETH,Coinbase,Binance,0.23,10:00:31.500
SOL,Kraken,Coinbase,0.96,10:00:31.500
XRP,Bybit,Binance,0.02,10:00:31.500
BTC,Binance,Kraken,-0.12,10:00:32.000
ETH,Coinbase,Binance,-0.2,10:00:32.000
SOL,Kraken,Coinbase,0.95,10:00:32.000
XRP,Bybit,Binance,0.07,10:00:32.000
BTC,Binance,Kraken,0.55,10:00:32.500
ETH,Coinbase,Binance,0.24,10:00:32.500
SOL,Kraken,Coinbase,1.24,10:00:32.500
XRP,Bybit,Binance,0.02,10:00:32.500
BTC,Binance,Kraken,0.47,10:00:33.000
ETH,Coinbase,Binance,0.27,10:00:33.000
SOL,Kraken,Coinbase,1.09,10:00:33.000
XRP,Bybit,Binance,0.06,10:00:33.000
BTC,Binance,Kraken,0.2,10:00:33.500
ETH,Coinbase,Binance,0.29,10:00:33.500
SOL,Kraken,Coinbase,0.95,10:00:33.500
XRP,Bybit,Binance,-0.0,10:00:33.500
BTC,Binance,Kraken,0.07,10:00:34.000
ETH,Coinbase,Binance,-0.2,10:00:34.000
SOL,Kraken,Coinbase,1.24,10:00:34.000
XRP,Bybit,Binance,0.05,10:00:34.000
BTC,Binance,Kraken,0.38,10:00:34.500
ETH,Coinbase,Binance,-0.16,10:00:34.500
SOL,Kraken,Coinbase,1.26,10:00:34.500
XRP,Bybit,Binance,0.03,10:00:34.500
BTC,Binance,Kraken,0.58,10:00:35.000
ETH,Coinbase,Binance,-0.06,10:00:35.000
SOL,Kraken,Coinbase,1.21,10:00:35.000
XRP,Bybit,Binance,-0.01,10:00:35.000
BTC,Binance,Kraken,0.36,10:00:35.500
ETH,Coinbase,Binance,0.11,10:00:35.500
SOL,Kraken,Coinbase,1.22,10:00:35.500
XRP,Bybit,Binance,0.05,10:00:35.500
BTC,Binance,Kraken,0.68,10:00:36.000
ETH,Coinbase,Binance,-0.11,10:00:36.000
SOL,Kraken,Coinbase,0.82,10:00:36.000
XRP,Bybit,Binance,-0.01,10:00:36.000
BTC,Binance,Kraken,0.43,10:00:36.500
ETH,Coinbase,Binance,-0.3,10:00:36.500
SOL,Kraken,Coinbase,1.29,10:00:36.500
XRP,Bybit,Binance,0.06,10:00:36.500
BTC,Binance,Kraken,0.06,10:00:37.000
ETH,Coinbase,Binance,-0.08,10:00:37.000
SOL,Kraken,Coinbase,1.04,10:00:37.000
XRP,Bybit,Binance,0.01,10:00:37.000
BTC,Binance,Kraken,0.1,10:00:37.500
ETH,Coinbase,Binance,0.16,10:00:37.500
SOL,Kraken,Coinbase,1.26,10:00:37.500
XRP,Bybit,Binance,0.06,10:00:37.500
BTC,Binance,Kraken,0.31,10:00:38.000
ETH,Coinbase,Binance,0.25,10:00:38.000
SOL,Kraken,Coinbase,1.08,10:00:38.000
XRP,Bybit,Binance,0.0,10:00:38.000
BTC,Binance,Kraken,-0.07,10:00:38.500
ETH,Coinbase,Binance,-0.07,10:00:38.500
SOL,Kraken,Coinbase,1.05,10:00:38.500
XRP,Bybit,Binance,0.02,10:00:38.500
BTC,Binance,Kraken,-0.07,10:00:39.000
ETH,Coinbase,Binance,0.07,10:00:39.000
SOL,Kraken,Coinbase,1.1,10:00:39.000
XRP,Bybit,Binance,0.07,10:00:39.000
BTC,Binance,Kraken,0.34,10:00:39.500
ETH,Coinbase,Binance,0.35,10:00:39.500
SOL,Kraken,Coinbase,0.85,10:00:39.500
XRP,Bybit,Binance,0.0,10:00:39.500
BTC,Binance,Kraken,0.55,10:00:40.000
ETH,Coinbase,Binance,0.03,10:00:40.000
SOL,Kraken,Coinbase,0.91,10:00:40.000
XRP,Bybit,Binance,0.01,10:00:40.000
BTC,Binance,Kraken,-0.15,10:00:40.500
ETH,Coinbase,Binance,0.17,10:00:40.500
SOL,Kraken,Coinbase,0.9,10:00:40.500
XRP,Bybit,Binance,0.01,10:00:40.500
BTC,Binance,Kraken,0.3,10:00:41.000
ETH,Coinbase,Binance,0.35,10:00:41.000
SOL,Kraken,Coinbase,0.9,10:00:41.000
XRP,Bybit,Binance,0.06,10:00:41.000
BTC,Binance,Kraken,-0.07,10:00:41.500
ETH,Coinbase,Binance,0.12,10:00:41.500
SOL,Kraken,Coinbase,1.26,10:00:41.500
XRP,Bybit,Binance,0.07,10:00:41.500
BTC,Binance,Kraken,0.65,10:00:42.000
ETH,Coinbase,Binance,0.21,10:00:42.000
SOL,Kraken,Coinbase,1.02,10:00:42.000
XRP,Bybit,Binance,0.06,10:00:42.000
BTC,Binance,Kraken,0.67,10:00:42.500
ETH,Coinbase,Binance,-0.05,10:00:42.500
SOL,Kraken,Coinbase,1.03,10:00:42.500
XRP,Bybit,Binance,0.01,10:00:42.500
BTC,Binance,Kraken,0.17,10:00:43.000
ETH,Coinbase,Binance,0.29,10:00:43.000
SOL,Kraken,Coinbase,1.04,10:00:43.000
XRP,Bybit,Binance,0.02,10:00:43.000
BTC,Binance,Kraken,0.52,10:00:43.500
ETH,Coinbase,Binance,-0.26,10:00:43.500
SOL,Kraken,Coinbase,1.09,10:00:43.500
XRP,Bybit,Binance,-0.02,10:00:43.500
BTC,Binance,Kraken,0.53,10:00:44.000
ETH,Coinbase,Binance,0.39,10:00:44.000
SOL,Kraken,Coinbase,1.27,10:00:44.000
XRP,Bybit,Binance,0.0,10:00:44.000
BTC,Binance,Kraken,0.67,10:00:44.500
ETH,Coinbase,Binance,-0.24,10:00:44.500
SOL,Kraken,Coinbase,1.22,10:00:44.500
XRP,Bybit,Binance,0.05,10:00:44.500
BTC,Binance,Kraken,-0.12,10:00:45.000
ETH,Coinbase,Binance,0.33,10:00:45.000
SOL,Kraken,Coinbase,1.07,10:00:45.000
XRP,Bybit,Binance,0.03,10:00:45.000
BTC,Binance,Kraken,-0.14,10:00:45.500
ETH,Coinbase,Binance,-0.03,10:00:45.500
SOL,Kraken,Coinbase,1.13,10:00:45.500
XRP,Bybit,Binance,0.0,10:00:45.500
BTC,Binance,Kraken,0.29,10:00:46.000
ETH,Coinbase,Binance,0.04,10:00:46.000
SOL,Kraken,Coinbase,1.0,10:00:46.000
XRP,Bybit,Binance,0.01,10:00:46.000
BTC,Binance,Kraken,0.01,10:00:46.500
ETH,Coinbase,Binance,0.19,10:00:46.500
SOL,Kraken,Coinbase,0.91,10:00:46.500
XRP,Bybit,Binance,0.03,10:00:46.500
BTC,Binance,Kraken,0.21,10:00:47.000
ETH,Coinbase,Binance,0.14,10:00:47.000
SOL,Kraken,Coinbase,0.91,10:00:47.000
XRP,Bybit,Binance,0.04,10:00:47.000
BTC,Binance,Kraken,0.34,10:00:47.500
ETH,Coinbase,Binance,-0.29,10:00:47.500
SOL,Kraken,Coinbase,0.94,10:00:47.500
XRP,Bybit,Binance,0.01,10:00:47.500
BTC,Binance,Kraken,0.7,10:00:48.000
ETH,Coinbase,Binance,-0.15,10:00:48.000
SOL,Kraken,Coinbase,1.04,10:00:48.000
XRP,Bybit,Binance,-0.01,10:00:48.000
BTC,Binance,Kraken,0.63,10:00:48.500
ETH,Coinbase,Binance,0.22,10:00:48.500
SOL,Kraken,Coinbase,0.98,10:00:48.500
XRP,Bybit,Binance,0.05,10:00:48.500
BTC,Binance,Kraken,0.11,10:00:49.000
ETH,Coinbase,Binance,-0.17,10:00:49.000
SOL,Kraken,Coinbase,0.83,10:00:49.000
XRP,Bybit,Binance,0.02,10:00:49.000
BTC,Binance,Kraken,0.45,10:00:49.500
ETH,Coinbase,Binance,0.37,10:00:49.500
SOL,Kraken,Coinbase,0.96,10:00:49.500
XRP,Bybit,Binance,0.04,10:00:49.500
BTC,Binance,Kraken,0.27,10:00:50.000
ETH,Coinbase,Binance,-0.05,10:00:50.000
SOL,Kraken,Coinbase,1.15,10:00:50.000
XRP,Bybit,Binance,0.0,10:00:50.000
BTC,Binance,Kraken,0.08,10:00:50.500
ETH,Coinbase,Binance,0.27,10:00:50.500
SOL,Kraken,Coinbase,1.24,10:00:50.500
XRP,Bybit,Binance,-0.02,10:00:50.500
BTC,Binance,Kraken,0.34,10:00:51.000
ETH,Coinbase,Binance,0.07,10:00:51.000
SOL,Kraken,Coinbase,0.86,10:00:51.000
XRP,Bybit,Binance,0.02,10:00:51.000
BTC,Binance,Kraken,0.55,10:00:51.500
ETH,Coinbase,Binance,0.24,10:00:51.500
SOL,Kraken,Coinbase,1.14,10:00:51.500
XRP,Bybit,Binance,0.03,10:00:51.500
BTC,Binance,Kraken,0.33,10:00:52.000
ETH,Coinbase,Binance,-0.3,10:00:52.000
SOL,Kraken,Coinbase,1.29,10:00:52.000
XRP,Bybit,Binance,0.03,10:00:52.000
BTC,Binance,Kraken,0.66,10:00:52.500
ETH,Coinbase,Binance,-0.12,10:00:52.500
SOL,Kraken,Coinbase,0.82,10:00:52.500
XRP,Bybit,Binance,-0.02,10:00:52.500
BTC,Binance,Kraken,-0.04,10:00:53.000
ETH,Coinbase,Binance,0.24,10:00:53.000
SOL,Kraken,Coinbase,0.83,10:00:53.000
XRP,Bybit,Binance,-0.02,10:00:53.000
BTC,Binance,Kraken,0.25,10:00:53.500
ETH,Coinbase,Binance,-0.04,10:00:53.500
SOL,Kraken,Coinbase,1.22,10:00:53.500
XRP,Bybit,Binance,0.07,10:00:53.500
BTC,Binance,Kraken,0.29,10:00:54.000
ETH,Coinbase,Binance,-0.09,10:00:54.000
SOL,Kraken,Coinbase,0.82,10:00:54.000
XRP,Bybit,Binance,0.07,10:00:54.000
BTC,Binance,Kraken,0.43,10:00:54.500
ETH,Coinbase,Binance,0.35,10:00:54.500
SOL,Kraken,Coinbase,1.05,10:00:54.500
XRP,Bybit,Binance,-0.01,10:00:54.500
BTC,Binance,Kraken,0.07,10:00:55.000
ETH,Coinbase,Binance,0.15,10:00:55.000
SOL,Kraken,Coinbase,0.95,10:00:55.000
XRP,Bybit,Binance,0.03,10:00:55.000
BTC,Binance,Kraken,0.54,10:00:55.500
ETH,Coinbase,Binance,0.31,10:00:55.500
SOL,Kraken,Coinbase,1.18,10:00:55.500
XRP,Bybit,Binance,0.03,10:00:55.500
BTC,Binance,Kraken,-0.04,10:00:56.000
ETH,Coinbase,Binance,-0.01,10:00:56.000
SOL,Kraken,Coinbase,1.02,10:00:56.000
XRP,Bybit,Binance,0.02,10:00:56.000
BTC,Binance,Kraken,0.17,10:00:56.500
ETH,Coinbase,Binance,0.16,10:00:56.500
SOL,Kraken,Coinbase,0.9,10:00:56.500
XRP,Bybit,Binance,0.01,10:00:56.500
BTC,Binance,Kraken,0.33,10:00:57.000
ETH,Coinbase,Binance,-0.01,10:00:57.000
SOL,Kraken,Coinbase,1.23,10:00:57.000
XRP,Bybit,Binance,0.05,10:00:57.000
BTC,Binance,Kraken,-0.2,10:00:57.500
ETH,Coinbase,Binance,0.14,10:00:57.500
SOL,Kraken,Coinbase,1.11,10:00:57.500
XRP,Bybit,Binance,0.07,10:00:57.500
BTC,Binance,Kraken,0.03,10:00:58.000
ETH,Coinbase,Binance,-0.06,10:00:58.000
SOL,Kraken,Coinbase,1.23,10:00:58.000
XRP,Bybit,Binance,0.04,10:00:58.000
BTC,Binance,Kraken,0.17,10:00:58.500
ETH,Coinbase,Binance,0.21,10:00:58.500
SOL,Kraken,Coinbase,0.97,10:00:58.500
XRP,Bybit,Binance,0.03,10:00:58.500
BTC,Binance,Kraken,0.31,10:00:59.000
ETH,Coinbase,Binance,0.23,10:00:59.000
SOL,Kraken,Coinbase,1.26,10:00:59.000
XRP,Bybit,Binance,0.04,10:00:59.000
BTC,Binance,Kraken,0.47,10:00:59.500
ETH,Coinbase,Binance,0.3,10:00:59.500
SOL,Kraken,Coinbase,1.16,10:00:59.500
XRP,Bybit,Binance,0.06,10:00:59.500
BTC,Binance,Kraken,-0.18,10:01:00.000
ETH,Coinbase,Binance,0.06,10:01:00.000
SOL,Kraken,Coinbase,1.18,10:01:00.000
XRP,Bybit,Binance,0.02,10:01:00.000
BTC,Binance,Kraken,0.61,10:01:00.500
ETH,Coinbase,Binance,0.28,10:01:00.500
SOL,Kraken,Coinbase,1.21,10:01:00.500
XRP,Bybit,Binance,0.06,10:01:00.500
BTC,Binance,Kraken,0.25,10:01:01.000
ETH,Coinbase,Binance,-0.05,10:01:01.000
SOL,Kraken,Coinbase,0.99,10:01:01.000
XRP,Bybit,Binance,-0.01,10:01:01.000
BTC,Binance,Kraken,0.69,10:01:01.500
ETH,Coinbase,Binance,0.3,10:01:01.500
SOL,Kraken,Coinbase,1.16,10:01:01.500
XRP,Bybit,Binance,0.01,10:01:01.500
BTC,Binance,Kraken,-0.07,10:01:02.000
ETH,Coinbase,Binance,0.24,10:01:02.000
SOL,Kraken,Coinbase,1.26,10:01:02.000
XRP,Bybit,Binance,0.04,10:01:02.000
BTC,Binance,Kraken,0.1,10:01:02.500
ETH,Coinbase,Binance,0.17,10:01:02.500
SOL,Kraken,Coinbase,0.81,10:01:02.500
XRP,Bybit,Binance,0.02,10:01:02.500
BTC,Binance,Kraken,0.53,10:01:03.000
ETH,Coinbase,Binance,0.18,10:01:03.000
SOL,Kraken,Coinbase,1.1,10:01:03.000
XRP,Bybit,Binance,0.0,10:01:03.000
BTC,Binance,Kraken,0.28,10:01:03.500
ETH,Coinbase,Binance,-0.16,10:01:03.500
SOL,Kraken,Coinbase,1.07,10:01:03.500
XRP,Bybit,Binance,-0.0,10:01:03.500
BTC,Binance,Kraken,0.7,10:01:04.000
ETH,Coinbase,Binance,-0.18,10:01:04.000
SOL,Kraken,Coinbase,0.82,10:01:04.000
XRP,Bybit,Binance,-0.0,10:01:04.000
BTC,Binance,Kraken,0.21,10:01:04.500
ETH,Coinbase,Binance,-0.23,10:01:04.500
SOL,Kraken,Coinbase,1.22,10:01:04.500
XRP,Bybit,Binance,0.06,10:01:04.500
BTC,Binance,Kraken,-0.02,10:01:05.000
ETH,Coinbase,Binance,-0.09,10:01:05.000
SOL,Kraken,Coinbase,0.84,10:01:05.000
XRP,Bybit,Binance,0.06,10:01:05.000
BTC,Binance,Kraken,-0.11,10:01:05.500
ETH,Coinbase,Binance,-0.23,10:01:05.500
SOL,Kraken,Coinbase,0.85,10:01:05.500
XRP,Bybit,Binance,0.06,10:01:05.500
BTC,Binance,Kraken,-0.2,10:01:06.000
ETH,Coinbase,Binance,-0.11,10:01:06.000
SOL,Kraken,Coinbase,1.17,10:01:06.000
XRP,Bybit,Binance,0.04,10:01:06.000
BTC,Binance,Kraken,0.21,10:01:06.500
ETH,Coinbase,Binance,0.12,10:01:06.500
SOL,Kraken,Coinbase,1.08,10:01:06.500
XRP,Bybit,Binance,0.06,10:01:06.500
BTC,Binance,Kraken,0.12,10:01:07.000
